"AH_CS8","MA_SEXE","MA_ACT_rec","MC_DIPLOME","EA_HAB","EA_LIT","EA_MAL","EA_JOUE","EA_AID","EA_EMM","CA_DIPLOME","OA_REPAS","OA_VAISS","OA_ALIME","OA_LINGE","OA_ASPIR","OA_BRICO","OA_COMPT","OA_INVIT","OB_DACHQUO","OB_DACHEX","OB_DEDUC","OB_DLOISIR","OB_GESTION"
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Autant moi que mon conjoint",3,"Toujours mon conjoint","Autant moi que mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Autant moi que mon conjoint","Le plus souvent mon conjoint",4,"Autant moi que mon conjoint","Le plus souvent moi","Toujours mon conjoint","Toujours mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Le plus souvent mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Toujours moi"
"Ouvriers","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Le plus souvent mon conjoint","Autant moi que mon conjoint",3,"Toujours moi","Toujours moi","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours moi","Toujours moi",3,"Toujours moi","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Masculin","Non","Diplôme de niveau Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Autant moi que mon conjoint",3,"Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Autres personnes sans activité professionnelle","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Le plus souvent moi",3,"Toujours mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Toujours mon conjoint","Autant moi que mon conjoint",4,"Toujours mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2","Les enfants eux-mêmes","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Le plus souvent moi",3,"Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Le plus souvent moi","Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Oui","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Les enfants eux-mêmes","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Brevet des collèges/BEPC (ou équivalent étranger)","Toujours moi","Autant moi que mon conjoint",1,"Toujours moi","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,"Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent moi","Le plus souvent moi",3,"Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Toujours mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","Baccalauréat général (ou équivalent)","Les enfants eux-mêmes","Les enfants eux-mêmes","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Les enfants eux-mêmes","CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Autant moi que mon conjoint",3,"Toujours moi","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Oui","CAP, BEP ou diplôme de ce niveau","Toujours moi","Toujours moi","Toujours moi","Autant moi que mon conjoint","N’est pas concerné","Toujours moi","CAP, BEP ou diplôme de ce niveau","Toujours moi","Autant moi que mon conjoint",2,"Toujours moi","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Cadres et professions intellectuelles supérieures","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Diplôme de niveau supérieur à Bac+2","Toujours moi","Autant moi que mon conjoint",3,"Le plus souvent mon conjoint","Autant moi que mon conjoint","Toujours moi","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint"
"Professions intermédiaires","Masculin","Non","Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Le plus souvent mon conjoint",3,"Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Le plus souvent mon conjoint","Le plus souvent moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Oui","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Toujours mon conjoint","Le plus souvent moi",5,"Toujours moi","Toujours moi","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Le plus souvent moi","Le plus souvent moi",1,"Toujours mon conjoint","Le plus souvent moi","Toujours moi","Toujours moi","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Artisans, commerçants et chefs d'entreprise","Masculin","Non","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Toujours mon conjoint",4,"Toujours mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Ouvriers","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Baccalauréat général (ou équivalent)","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","Baccalauréat général (ou équivalent)","Le plus souvent moi","Le plus souvent moi","Toujours moi","Autant moi que mon conjoint","N’est pas concerné","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Baccalauréat général (ou équivalent)","Autant moi que mon conjoint","Toujours moi",1,"Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Toujours mon conjoint","Le plus souvent mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours moi","Le plus souvent moi","Le plus souvent moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","Aucun diplôme","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Le plus souvent moi","Toujours mon conjoint","Autant moi que mon conjoint","Aucun diplôme","Autant moi que mon conjoint","Autant moi que mon conjoint",3,"Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Masculin","Non","Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Diplôme de niveau Bac+2","Le plus souvent moi","Le plus souvent mon conjoint",2,"Le plus souvent moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Toujours moi","Toujours moi","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Autant moi que mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint","Toujours mon conjoint",NA,"Toujours mon conjoint","Le plus souvent moi"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artisans, commerçants et chefs d'entreprise","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","N’est pas concerné","Autant moi que mon conjoint","Diplôme de niveau Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Le plus souvent moi","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Masculin","Non","Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Autant moi que mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Toujours mon conjoint","Le plus souvent moi","Toujours moi","Toujours moi","Autant moi que mon conjoint",NA,"Toujours moi","Autant moi que mon conjoint"
"Employés","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Toujours moi","Le plus souvent moi",3,"Toujours moi","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","N’est pas concerné","N’est pas concerné","Baccalauréat général (ou équivalent)","Le plus souvent moi","Autant moi que mon conjoint",2,"Toujours mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",4,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent moi",2,"Toujours moi","Le plus souvent moi","Toujours mon conjoint","Toujours moi","Le plus souvent moi","Le plus souvent moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Masculin","Non","Brevet des collèges/BEPC (ou équivalent étranger)","N’est pas concerné","N’est pas concerné","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","CAP, BEP ou diplôme de ce niveau","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Masculin","Non","Baccalauréat général (ou équivalent)","Toujours mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","N’est pas concerné","Autant moi que mon conjoint","Baccalauréat technologique/professionnel (ou équivalent)","Toujours mon conjoint","Le plus souvent moi",5,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent moi","Le plus souvent moi",3,"Le plus souvent moi","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Masculin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Toujours moi","Toujours mon conjoint",3,"Toujours moi","Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours moi","Toujours moi","Autant moi que mon conjoint",NA,"Toujours moi","Toujours moi"
"Retraités","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours moi","Autant moi que mon conjoint",3,"Toujours moi","Autant moi que mon conjoint","Toujours mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,"Ne sait pas","Le plus souvent moi","Toujours moi",3,"Le plus souvent moi","Le plus souvent moi","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","Aucun diplôme","Toujours mon conjoint","Toujours mon conjoint","Le plus souvent mon conjoint","Les enfants eux-mêmes","Le plus souvent mon conjoint","Le plus souvent moi","Aucun diplôme","Le plus souvent mon conjoint","Le plus souvent mon conjoint",4,"Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","N’est pas concerné","Le plus souvent mon conjoint","Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint",3,"Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Professions intermédiaires","Masculin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours moi","N’est pas concerné",1,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Toujours moi","Le plus souvent mon conjoint",2,"Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Le plus souvent moi","Autant moi que mon conjoint",NA,"Le plus souvent moi","Le plus souvent mon conjoint"
